Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10287","","","None","10.46.254.111","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.46.254.222 to 10.46.254.111 : 
10.46.254.222
10.46.254.111

Hop Count: 1
","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.46.254.111","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: US
State/Province: California
Locality: Palo Alto
Organization: VMware
Organization Unit: VMware Engineering
Common Name: lc01oaiacshpv1.iacs.wlds
Email Address: vmca@vmware.com

Issuer Name: 

Common Name: CA
Domain Component: iacs
Domain Component: local
Country: US
State/Province: California
Organization: LC01LAIACSVCTR.iacs.wlds
Organization Unit: VMware Engineering

Serial Number: 00 D7 CF 77 83 D2 A8 F8 CC 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 18 05:29:18 2022 GMT
Not Valid After: Oct 18 05:29:18 2027 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 BD 68 E5 8A 60 DE DD F3 9E A8 1D 12 42 21 5A 78 8D D5 2A 
            B3 3D B8 B9 26 75 8B 33 A2 EB 75 FC FA 15 D6 F2 E6 2E 89 C1 
            86 69 F8 A7 C5 BA D8 48 B4 65 FE 5B 16 BE E8 B2 E6 C5 2D D5 
            F9 F9 93 45 F7 80 51 71 9A 23 73 7B 60 7B 48 E7 AF 02 25 A7 
            07 CB EE 68 D6 E6 63 22 8A DC 20 CD 25 38 A7 2D 09 2C F8 69 
            79 5B 2B 8B 97 9F 21 B0 0E C4 B1 DC CE 0A 1F 6A 6F 14 30 E7 
            D4 56 6F F4 A6 1A 5D 5A D2 EE 70 E4 C2 4D 43 75 D0 F7 F9 F5 
            E0 D6 44 2B F5 F9 D8 48 6A 6E D1 E7 A9 A5 81 5A 99 A2 13 A5 
            FD F6 9B 8F 95 83 CE 15 86 82 58 CD 34 B9 05 D0 20 99 C7 3D 
            37 2A 3A 05 84 87 3A 36 A2 4E FC 5F 9C 9E EE 9D B1 E5 CD 1F 
            75 97 B9 6D C0 CC 7E 19 F3 BB 2F 0C CE EF 90 CD 5B C9 94 66 
            F7 73 E6 E2 CB 6A C2 E8 4D F8 6A 84 6F AF 1A 01 63 36 2E 23 
            27 BF CC 75 1C 64 43 4D 95 DE 78 F8 BE 0B 64 EB 7D 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 7A 85 E6 81 A7 2B 42 7F 26 01 27 96 D6 79 F6 E0 F0 0E 2E 
           55 6A 0B B0 60 DF B6 39 62 CA D0 74 2B A9 D6 70 55 E8 6D 76 
           A1 E9 D8 24 AC F3 36 E4 CB 1A 64 67 41 1B 96 59 09 DD 5E 69 
           DB 76 E5 3D 54 71 9B 2B 94 FE F4 CD 38 32 A1 BE A9 54 EE 78 
           86 DC 6C A4 73 91 AF C9 D6 B7 64 D3 61 86 B2 45 ED 1C 7A C0 
           FE BE 4D 51 03 4B 1D 52 31 3E 48 23 96 74 55 7E 6A 5E 52 46 
           90 23 93 F3 E9 5B ED A3 D6 31 33 8D 90 EA 8F 27 42 FB 5F 01 
           24 21 75 40 6E AD 28 AA 92 87 5E 70 E2 8A 11 88 CF 74 AF B7 
           AC E3 AD 2D A4 74 BA F8 F8 C6 9D F0 29 BD CB 6D A1 79 FE F4 
           5A F8 1E 8D 62 93 93 FA E5 F7 6B 2C 91 54 BF 2E 7B 87 67 C7 
           20 92 C7 FE 6B 5B 9F D3 88 05 51 B4 32 D3 97 A3 16 EA 3C 22 
           5E A6 30 AD CD 40 30 69 4C 3C 76 B0 41 E2 B7 81 B6 C1 47 4B 
           6A E8 D7 54 B9 5A 3F 49 83 C1 29 AC 8B CB 7B F4 D2 

Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: lc01oaiacshpv1.iacs.wlds


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: D5 C7 80 48 30 3F A9 0E 7A 92 A9 CA BF A8 8B 2E DF C2 F8 D9 


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: https://LC01LAIACSVCTR.iacs.wlds/afd/vecs/ca


Fingerprints : 

SHA-256 Fingerprint: 08 78 A5 39 C8 DA 78 E5 E1 FB 63 A5 21 A5 B2 D3 F7 E9 9A DC 
                     61 B8 0F 8C 13 7F A9 A6 1D 20 DA C9 
SHA-1 Fingerprint: 17 C1 15 30 19 27 6F C1 B9 1A 70 A6 B1 5E 8C 66 11 46 43 EE 
MD5 Fingerprint: 1B 59 81 69 A1 92 9C 7E 49 95 2A 21 E6 06 98 18 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEXDCCA0SgAwIBAgIJANfPd4PSqPjMMA0GCSqGSIb3DQEBCwUAMIGcMQswCQYDVQQDDAJDQTEUMBIGCgmSJomT8ixkARkWBGlhY3MxFTATBgoJkiaJk/IsZAEZFgVsb2NhbDELMAkGA1UEBhMCVVMxEzARBgNVBAgMCkNhbGlmb3JuaWExITAfBgNVBAoMGExDMDFMQUlBQ1NWQ1RSLmlhY3Mud2xkczEbMBkGA1UECwwSVk13YXJlIEVuZ2luZWVyaW5nMB4XDTIyMTAxODA1MjkxOFoXDTI3MTAxODA1MjkxOFowgacxCzAJBgNVBAYTAlVTMRMwEQYDVQQIDApDYWxpZm9ybmlhMRIwEAYDVQQHDAlQYWxvIEFsdG8xDzANBgNVBAoMBlZNd2FyZTEbMBkGA1UECwwSVk13YXJlIEVuZ2luZWVyaW5nMSEwHwYDVQQDDBhsYzAxb2FpYWNzaHB2MS5pYWNzLndsZHMxHjAcBgkqhkiG9w0BCQEWD3ZtY2FAdm13YXJlLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL1o5Ypg3t3znqgdEkIhWniN1SqzPbi5JnWLM6Lrdfz6Fdby5i6JwYZp+KfFuthItGX+Wxa+6LLmxS3V+fmTRfeAUXGaI3N7YHtI568CJacHy+5o1uZjIorcIM0lOKctCSz4aXlbK4uXnyGwDsSx3M4KH2pvFDDn1FZv9KYaXVrS7nDkwk1DddD3+fXg1kQr9fnYSGpu0eeppYFamaITpf32m4+Vg84VhoJYzTS5BdAgmcc9Nyo6BYSHOjaiTvxfnJ7unbHlzR91l7ltwMx+GfO7LwzO75DNW8mUZvdz5uLLasLoTfhqhG+vGgFjNi4jJ7/MdRxkQ02V3nj4vgtk630CAwEAAaOBkzCBkDAjBgNVHREEHDAaghhsYzAxb2FpYWNzaHB2MS5pYWNzLndsZHMwHwYDVR0jBBgwFoAU1ceASDA/qQ56kqnKv6iLLt/C+NkwSAYIKwYBBQUHAQEEPDA6MDgGCCsGAQUFBzAChixodHRwczovL0xDMDFMQUlBQ1NWQ1RSLmlhY3Mud2xkcy9hZmQvdmVjcy9jYTANBgkqhkiG9w0BAQsFAAOCAQEAeoXmgacrQn8mASeW1nn24PAOLlVqC7Bg37Y5YsrQdCup1nBV6G12oenYJKzzNuTLGmRnQRuWWQndXmnbduU9VHGbK5T+9M04MqG+qVTueIbcbKRzka/J1rdk02GGskXtHHrA/r5NUQNLHVIxPkgjlnRVfmpeUkaQI5Pz6Vvto9YxM42Q6o8nQvtfASQhdUBurSiqkodecOKKEYjPdK+3rOOtLaR0uvj4xp3wKb3LbaF5/vRa+B6NYpOT+uX3ayyRVL8ue4dnxyCSx/5rW5/TiAVRtDLTl6MW6jwiXqYwrc1AMGlMPHawQeK3gbbBR0tq6NdUuVo/SYPBKayLy3v00g==
-----END CERTIFICATE-----","","None","","","","2008/05/19","2021/02/03","","",""
"11153","","","None","10.46.254.111","tcp","902","Service Detection (HELP Request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives a 'HELP'
request.","n/a","","A VMware authentication daemon is running on this port.","","None","","","","2002/11/18","2018/11/26","","",""
"11219","","","None","10.46.254.111","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","","None","","","","2009/02/04","2024/05/20","","",""
"11219","","","None","10.46.254.111","tcp","902","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 902/tcp was found to be open","","None","","","","2009/02/04","2024/05/20","","",""
"11936","","","None","10.46.254.111","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : VMware ESXi 7.0.3 build-20036589
Confidence level : 98
Method : Misc

Not all fingerprints could give a match. If you think that these
signatures would help us improve OS fingerprinting, please submit
them by visiting https://www.tenable.com/research/submitsignatures.

SinFP:!:
   P1:B11113:F0x12:W65535:O0204ffff:M1380:
   P2:B11113:F0x12:W65535:O0204ffff010303090402080affffffff44454144:M1380:
   P3:B00000:F0x00:W0:O0:M0
   P4:191003_7_p=902R
SSLcert:!:i/CN:CAi/O:LC01LAIACSVCTR.iacs.wldsi/OU:VMware Engineerings/CN:lc01oaiacshpv1.iacs.wldss/O:VMwares/OU:VMware Engineering
17c1153019276fc1b91a70a6b15e8c66114643ee


 
The remote host is running VMware ESXi 7.0.3 build-20036589","","None","","","","2003/12/09","2024/10/14","","",""
"19506","","","None","10.46.254.111","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.8.3
Nessus build : 20010
Plugin feed version : 202410170436
Scanner edition used : Nessus
Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : DAY3 BIG FLEXI (5) lINUX
Scan policy used : Advanced Scan
Scanner IP : 10.46.254.222
Port scanner(s) : nessus_syn_scanner 
Port range : all
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : no (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/11/5 1:04 EST
Scan duration : 403 sec
Scan for malware : no
","","None","","","","2005/08/26","2024/10/04","","",""
"20301","","","None","10.46.254.111","tcp","902","VMware ESX/GSX Server detection","The remote host appears to be running VMware Server, ESX Server, or
GSX Server.","According to its banner, the remote host appears to be running a
VMware server authentication daemon, which likely indicates the remote
host is running VMware Server, ESX Server, or GSX Server.","n/a","https://www.vmware.com/","","","None","","","","2005/12/14","2022/10/12","","",""
"21643","","","None","10.46.254.111","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.0.2/man1/ciphers.html
http://www.nessus.org/u?e17ffced","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA256       0xC0, 0x2F       ECDH          RSA      AES-GCM(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384
    RSA-AES128-SHA256             0x00, 0x9C       RSA           RSA      AES-GCM(128)           SHA256
    RSA-AES256-SHA384             0x00, 0x9D       RSA           RSA      AES-GCM(256)           SHA384
    ECDHE-RSA-AES128-SHA          0xC0, 0x13       ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA          0xC0, 0x14       ECDH          RSA      AES-CBC(256)           SHA1
    AES128-SHA                    0x00, 0x2F       RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                    0x00, 0x35       RSA           RSA      AES-CBC(256)           SHA1
    ECDHE-RSA-AES128-SHA256       0xC0, 0x27       ECDH          RSA      AES-CBC(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x28       ECDH          RSA      AES-CBC(256)           SHA384
    RSA-AES128-SHA256             0x00, 0x3C       RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256             0x00, 0x3D       RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","None","","","","2006/06/05","2024/09/11","","",""
"22964","","","None","10.46.254.111","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
","","None","","","","2007/08/19","2024/03/26","","",""
