Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10287","","","None","10.46.178.9","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.46.178.29 to 10.46.178.9 : 
10.46.178.29
10.46.178.17
10.46.178.9

Hop Count: 2
","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.46.178.9","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: ASA Temporary Self Signed Certificate

Issuer Name: 

Common Name: ASA Temporary Self Signed Certificate

Serial Number: DF D7 41 63 

Version: 3

Signature Algorithm: ECDSA With SHA-256

Not Valid Before: Oct 08 20:04:46 2022 GMT
Not Valid After: Oct 05 20:04:46 2032 GMT

Public Key Info: 

Algorithm: EC Public Key
Elliptic Curve: P256
Key Length: 256 bits
Public Key X: 29 22 47 B3 9A CF 30 BF CF F6 36 CD 3B FF 28 15 24 10 75 3C 
              A0 18 07 60 AC 66 AC AF B0 A1 56 72 
Public Key Y: C2 AF 58 8C 32 DE E2 EC 8D CB 86 73 75 2C E9 F2 E0 30 82 9C 
              19 DC 92 5A AD 92 40 D6 F9 A8 5A 9E 

Signature Length: 71 bytes / 568 bits
Signature: 00 30 45 02 20 60 96 E3 D0 2E 77 47 8B 57 14 1C 3E D5 C5 C9 
           AA C1 91 2D 2B 4A 57 24 99 9F 95 68 2F 5B B9 0F 4F 02 21 00 
           A0 20 55 3A 8B 6B 92 CB CD 65 08 19 68 51 A6 12 41 D4 82 E6 
           0A E8 01 A8 A3 8A B4 69 FE 07 16 22 

Fingerprints : 

SHA-256 Fingerprint: ED CE E6 EE A4 D9 64 2C A3 7F 0B 60 86 CF 2B 8D D9 C6 8A BC 
                     44 9E 8D 48 70 6C 23 C7 70 D0 2F 81 
SHA-1 Fingerprint: 6B 69 F5 6E 4A 0A 21 CA 94 EC B6 10 81 D9 15 41 F3 AC 3A 4D 
MD5 Fingerprint: 34 87 70 DE 54 67 96 30 A1 37 32 C6 6B 30 D5 63 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIBTzCB9qADAgECAgTf10FjMAoGCCqGSM49BAMCMDAxLjAsBgNVBAMTJUFTQSBUZW1wb3JhcnkgU2VsZiBTaWduZWQgQ2VydGlmaWNhdGUwHhcNMjIxMDA4MjAwNDQ2WhcNMzIxMDA1MjAwNDQ2WjAwMS4wLAYDVQQDEyVBU0EgVGVtcG9yYXJ5IFNlbGYgU2lnbmVkIENlcnRpZmljYXRlMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEKSJHs5rPML/P9jbNO/8oFSQQdTygGAdgrGasr7ChVnLCr1iMMt7i7I3LhnN1LOny4DCCnBncklqtkkDW+ahanjAKBggqhkjOPQQDAgNIADBFAiBgluPQLndHi1cUHD7VxcmqwZEtK0pXJJmflWgvW7kPTwIhAKAgVTqLa5LLzWUIGWhRphJB1ILmCugBqKOKtGn+BxYi
-----END CERTIFICATE-----","","None","","","","2008/05/19","2021/02/03","","",""
"11219","","","None","10.46.178.9","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","","None","","","","2009/02/04","2024/05/20","","",""
"11219","","","None","10.46.178.9","tcp","2000","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 2000/tcp was found to be open","","None","","","","2009/02/04","2024/05/20","","",""
"11219","","","None","10.46.178.9","tcp","5060","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 5060/tcp was found to be open","","None","","","","2009/02/04","2024/05/20","","",""
"11936","","","None","10.46.178.9","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : CISCO ASA 5500
Confidence level : 85
Method : HTML

 
The remote host is running CISCO ASA 5500","","None","","","","2003/12/09","2024/10/14","","",""
"19506","","","None","10.46.178.9","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.8.3
Nessus build : 20010
Plugin feed version : 202410170436
Scanner edition used : Nessus
Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : DAY5 BIG FLEXI (1) CISCO ASA
Scan policy used : Advanced Scan
Scanner IP : 10.46.178.29
Port scanner(s) : nessus_syn_scanner 
Port range : all
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : no (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/11/8 1:52 EST
Scan duration : 232 sec
Scan for malware : no
","","None","","","","2005/08/26","2024/10/04","","",""
"19689","","","None","10.46.178.9","tcp","443","Embedded Web Server Detection","The remote web server is embedded.","The remote web server cannot host user-supplied CGIs. CGI scanning
will be disabled on this server.","n/a","","","","None","","","","2005/09/14","2019/11/22","","",""
"21643","","","None","10.46.178.9","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.0.2/man1/ciphers.html
http://www.nessus.org/u?e17ffced","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES256-SHA384         0x00, 0x9F       DH            RSA      AES-GCM(256)           SHA384
    ECDHE-ECDSA-AES256-SHA384     0xC0, 0x2C       ECDH          ECDSA    AES-GCM(256)           SHA384
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384
    RSA-AES256-SHA384             0x00, 0x9D       RSA           RSA      AES-GCM(256)           SHA384
    DHE-RSA-AES256-SHA256         0x00, 0x6B       DH            RSA      AES-CBC(256)           SHA256
    ECDHE-ECDSA-AES256-SHA384     0xC0, 0x24       ECDH          ECDSA    AES-CBC(256)           SHA384
    ECDHE-RSA-AES256-SHA384       0xC0, 0x28       ECDH          RSA      AES-CBC(256)           SHA384
    RSA-AES256-SHA256             0x00, 0x3D       RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","None","","","","2006/06/05","2024/09/11","","",""
"22964","","","None","10.46.178.9","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
","","None","","","","2007/08/19","2024/03/26","","",""
