Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10267","","","None","10.46.254.148","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_7.4
SSH supported authentication : publickey,password,keyboard-interactive
SSH banner : 
USE OF THIS NETWORK IS RESTRICTED TO AUTHORISED USERS ONLY. USER ACTIVITY MAY BE MONITORED AND/OR RECORDED. ANYONE USING THIS NETWORK EXPRESSLY CONSENTS TO SUCH MONITORING AND/OR RECORDING. BE ADVISED: IF POSSIBLE CRIMINAL ACTIVITY IS DETECTED, THESE RECORDS, ALONG WITH CERTAIN PERSONAL INFORMATION, MAY BE PROVIDED TO LAW ENFORCEMENT OFFICIALS.

","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","10.46.254.148","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.46.254.222 to 10.46.254.148 : 
10.46.254.222

ttl was greater than 50 - Completing Traceroute.

?

Hop Count: 1

An error was detected along the way.

","","None","","","","1999/11/27","2023/12/04","","",""
"10658","","","None","10.46.254.148","tcp","1521","Oracle Database tnslsnr Service Remote Version Disclosure","An Oracle tnslsnr service is listening on the remote port.","The remote host is running the Oracle tnslsnr service, a network
interface to Oracle databases.  This product allows a remote user to
determine the presence and version number of a given Oracle
installation.","Filter incoming traffic to this port so that only authorized hosts can
connect to it.","","A TNS service is running on this port but it
refused to honor an attempt to connect to it.
(The TNS reply code was 4)","","None","","","","2001/05/01","2022/10/12","","",""
"10881","","","None","10.46.254.148","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","None","","","","2002/03/06","2024/07/24","","",""
"11936","","","None","10.46.254.148","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 4.1.12-112.17.3.el7uek.x86_64 on Oracle Linux Server release 7.6
Confidence level : 100
Method : LinuxDistribution

Not all fingerprints could give a match. If you think that these
signatures would help us improve OS fingerprinting, please submit
them by visiting https://www.tenable.com/research/submitsignatures.

SSH:!:SSH-2.0-OpenSSH_7.4
uname:Linux lc01ldiacsdb01 4.1.12-112.17.3.el7uek.x86_64 #2 SMP Wed Jul 11 12:16:18 PDT 2018 x86_64 x86_64 x86_64 GNU/Linux

SinFP:!:
   P1:B10113:F0x12:W29200:O0204ffff:M1380:
   P2:B10113:F0x12:W28960:O0204ffff0402080affffffff4445414401030307:M1380:
   P3:B00000:F0x00:W0:O0:M0
   P4:191003_7_p=1521R

 
The remote host is running Linux Kernel 4.1.12-112.17.3.el7uek.x86_64 on Oracle Linux Server release 7.6","","None","","","","2003/12/09","2024/10/14","","",""
"14272","","","None","10.46.254.148","tcp","22","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 22/tcp was found to be open","","None","","","","2004/08/15","2024/07/24","","",""
"14272","","","None","10.46.254.148","tcp","111","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 111/tcp was found to be open","","None","","","","2004/08/15","2024/07/24","","",""
"14272","","","None","10.46.254.148","tcp","1521","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 1521/tcp was found to be open","","None","","","","2004/08/15","2024/07/24","","",""
"14272","","","None","10.46.254.148","tcp","1526","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 1526/tcp was found to be open","","None","","","","2004/08/15","2024/07/24","","",""
"14272","","","None","10.46.254.148","tcp","2484","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 2484/tcp was found to be open","","None","","","","2004/08/15","2024/07/24","","",""
