Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","2.1","Low","10.46.254.48","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The difference between the local and remote clocks is 14 seconds.
","","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10150","","","None","10.46.254.48","tcp","445","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 2 NetBIOS names have been gathered :

 NWC05BBBIGX4013  = Computer name
 IACS             = Workgroup / Domain name
","","None","","","","1999/10/12","2021/02/10","","",""
"10287","","","None","10.46.254.48","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.46.254.222 to 10.46.254.48 : 
10.46.254.222
10.46.254.48

Hop Count: 1
","","None","","","","1999/11/27","2023/12/04","","",""
"10394","","","None","10.46.254.48","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- Guest account
- Supplied credentials","n/a","http://www.nessus.org/u?5c2589f6
https://support.microsoft.com/en-us/help/246261","- The SMB tests will be done as iacs.wlds\auditor/******
","","None","","","","2000/05/09","2024/07/29","","",""
"10395","","","None","10.46.254.48","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host when logged in as auditor:

  - ADMIN$
  - C
  - C$
  - D
  - D$
  - IPC$
","","None","","","","2000/05/09","2022/02/01","","",""
"10396","","","None","10.46.254.48","tcp","445","Microsoft Windows SMB Shares Access","It is possible to access a network share.","The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","","
The following shares can be accessed as auditor :

- ADMIN$  - (readable,writable)
  + Content of this share :
..
appcompat
AppPatch
AppReadiness
assembly
bcastdvr
bfsvc.exe
BitLockerDiscoveryVolumeContents
Boot
bootstat.dat
Branding
CbsTemp
CSC
Cursors
debug
diagnostics
DigitalLocker
Downloaded Program Files
DPINST.LOG
DtcInstall.log
ELAMBKUP
en-US
EnterpriseS.xml
explorer.exe
Fonts
GameBarPresenceWriter
Globalization
Help
HelpPane.exe
hh.exe
IME
ImmersiveControlPanel
INF
InfusedApps
InputMethod
Installer
ixAVI_log.txt
L2Schemas
LiveKernelReports
Logs
lsasetup.log
Media
mib.bin
Microsoft.NET
Migration
MiracastView
ModemLogs
notepad.exe
OEMLogo.bmp
Offline Web Pages
Panther
Performance
PFRO.log
PLA
PolicyDefinitions
Prefetch
PrintDialog
Provisioning
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServiceProfiles
servicing
Setup
setupact.log
setuperr.log
ShellExperiences
SoftwareDistribution
Speech
Speech_OneCore
splwow64.exe
System
system.ini
System32
SystemApps
SystemResources
SysWOW64
TAPI
Tasks
Temp
tracing
twain_32
twain_32.dll
UpdateAssistantV2
Vss
Web

- D$  - (readable,writable)
  + Content of this share :
DeployService
eDoorService
Log
logNoRet
MorphoWayUPSService
onelook-5.3.0-tools
OneLook.Display
OneLook.Service
System Volume Information
temp

- D  - (readable)
  + Content of this share :
DeployService
eDoorService
Log
logNoRet
MorphoWayUPSService
onelook-5.3.0-tools
OneLook.Display
OneLook.Service
System Volume Information
temp

- C$  - (readable,writable)
  + Content of this share :
0_Crosssite_WCP
0_MMBSBYPASS
bootmgr
BOOTNXT
Certs
deployment
Documents and Settings
EIMService
EIMService_old270824
Flexi deployment
found.000
hiberfil.sys
IACS
Intel
IT
licences
Morpho
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Project
Quarantine
Recovery
Sasgen
Sasgen_old270824
Scripts
swapfile.sys
System Volume Information
temp
Users
Windows

- C  - (readable)
  + Content of this share :
0_Crosssite_WCP
0_MMBSBYPASS
bootmgr
BOOTNXT
Certs
deployment
Documents and Settings
EIMService
EIMService_old270824
Flexi deployment
found.000
hiberfil.sys
IACS
Intel
IT
licences
Morpho
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Project
Quarantine
Recovery
Sasgen
Sasgen_old270824
Scripts
swapfile.sys
System Volume Information
temp
Users
Windows

","","None","","","","2000/05/09","2021/10/04","","",""
"10400","","","None","10.46.254.48","tcp","445","Microsoft Windows SMB Registry Remotely Accessible","Access the remote Windows Registry.","It was possible to access the remote Windows Registry using the login
/ password combination used for the Windows local checks (SMB tests).","n/a","","","","None","","","","2000/05/09","2022/02/01","","",""
"10412","","7.2","High","10.46.254.48","tcp","445","Microsoft Windows SMB Registry : Autologon Enabled","Anyone can logon to the remote system.","This script determines whether the autologon feature is enabled. This
feature allows an intruder to log into the remote host as
DefaultUserName with the password DefaultPassword.","Delete the keys AutoAdminLogon and DefaultPassword under
HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","http://support.microsoft.com/kb/315231","Autologon is enabled on this host.
This allows an attacker to access the domain: iacs.wlds as gatekioskuser/6******S

Note: The password displayed has been partially obfuscated.","8.4","High","","","324737","2000/05/20","2022/08/16","","",""
"10456","","","None","10.46.254.48","tcp","445","Microsoft Windows SMB Service Enumeration","It is possible to enumerate remote services.","This plugin implements the SvcOpenSCManager() and SvcEnumServices()
calls to obtain, using the SMB protocol, the list of active and
inactive services of the remote host.

An attacker may use this feature to gain better knowledge of the
remote host.","To prevent the listing of the services from being obtained, you should
either have tight login restrictions, so that only trusted users can
access your host, and/or you should filter incoming traffic to this
port.","","
Active Services :

Application Information [ Appinfo ] 
Windows Audio Endpoint Builder [ AudioEndpointBuilder ] 
Windows Audio [ Audiosrv ] 
Base Filtering Engine [ BFE ] 
Background Intelligent Transfer Service [ BITS ] 
Background Tasks Infrastructure Service [ BrokerInfrastructure ] 
CoreMessaging [ CoreMessagingRegistrar ] 
Intel(R) Content Protection HECI Service [ cphs ] 
Intel(R) Content Protection HDCP Service [ cplspcon ] 
Cryptographic Services [ CryptSvc ] 
DCOM Server Process Launcher [ DcomLaunch ] 
Deploy Service [ DeployService ] 
Device Association Service [ DeviceAssociationService ] 
DHCP Client [ Dhcp ] 
Connected User Experiences and Telemetry [ DiagTrack ] 
DNS Client [ Dnscache ] 
Diagnostic Policy Service [ DPS ] 
DSCameraControlWinService [ DSCameraControlWinService ] 
Device Setup Manager [ DsmSvc ] 
Data Sharing Service [ DsSvc ] 
eDoor [ eDoor ] 
EIM Service [ EIM Service ] 
Windows Event Log [ EventLog ] 
COM+ Event System [ EventSystem ] 
Windows Font Cache Service [ FontCache ] 
Windows Presentation Foundation Font Cache 3.0.0.0 [ FontCache3.0.0.0 ] 
Intel(R) HD Graphics Control Panel Service [ igfxCUIService2.0.0.0 ] 
IKE and AuthIP IPsec Keying Modules [ IKEEXT ] 
Intel(R) PROSet Monitoring Service [ Intel(R) PROSet Monitoring Service ] 
CNG Key Isolation [ KeyIso ] 
Server [ LanmanServer ] 
Workstation [ LanmanWorkstation ] 
Windows License Manager Service [ LicenseManager ] 
TCP/IP NetBIOS Helper [ lmhosts ] 
Local Session Manager [ LSM ] 
McAfee Agent Common Services [ macmnsvc ] 
McAfee Agent Service [ masvc ] 
McAfee Agent Backwards Compatibility Service [ McAfeeFramework ] 
McAfee Service Controller [ mfemms ] 
McAfee Validation Trust Protection Service [ mfevtp ] 
MorphoWayUPSService [ MorphoWayUPSService ] 
Windows Firewall [ MpsSvc ] 
MorphoSmart USB Service [ MSO_SpUsb_Service ] 
Multiprotect License Service [ Multiprotect License Service ] 
Network Connection Broker [ NcbService ] 
Netlogon [ Netlogon ] 
Network List Service [ netprofm ] 
Network Location Awareness [ NlaSvc ] 
NSClient++ Monitoring Agent [ nscp ] 
Network Store Interface Service [ nsi ] 
OneLook Service [ ONELOOK ] 
Program Compatibility Assistant Service [ PcaSvc ] 
Plug and Play [ PlugPlay ] 
IPsec Policy Agent [ PolicyAgent ] 
Power [ Power ] 
User Profile Service [ ProfSvc ] 
Remote Registry [ RemoteRegistry ] 
RPC Endpoint Mapper [ RpcEptMapper ] 
Remote Procedure Call (RPC) [ RpcSs ] 
Security Accounts Manager [ SamSs ] 
Smart Card [ SCardSvr ] 
Task Scheduler [ Schedule ] 
System Event Notification Service [ SENS ] 
Remote Desktop Configuration [ SessionEnv ] 
Shell Hardware Detection [ ShellHWDetection ] 
SNMP Service [ SNMP ] 
State Repository Service [ StateRepository ] 
Windows Image Acquisition (WIA) [ stisvc ] 
Storage Service [ StorSvc ] 
syslog-ng Agent [ syslog-ng Agent ] 
Superfetch [ SysMain ] 
System Events Broker [ SystemEventsBroker ] 
Tenable Nessus Agent [ Tenable Nessus Agent ] 
Remote Desktop Services [ TermService ] 
Themes [ Themes ] 
Tile Data model server [ tiledatamodelsvc ] 
Time Broker [ TimeBrokerSvc ] 
Distributed Link Tracking Client [ TrkWks ] 
Remote Desktop Services UserMode Port Redirector [ UmRdpService ] 
User Manager [ UserManager ] 
Credential Manager [ VaultSvc ] 
Windows Time [ W32Time ] 
Windows Connection Manager [ Wcmsvc ] 
Diagnostic Service Host [ WdiServiceHost ] 
Windows Management Instrumentation [ Winmgmt ] 
Windows Remote Management (WS-Management) [ WinRM ] 
Windows Push Notifications System Service [ WpnService ] 
Security Center [ wscsvc ] 
Windows Search [ WSearch ] 
Windows Driver Foundation - User-mode Driver Framework [ wudfsvc ] 
CDPUserSvc_4164a [ CDPUserSvc_4164a ] 
Sync Host_4164a [ OneSyncSvc_4164a ] 
CDPUserSvc_30caab0 [ CDPUserSvc_30caab0 ] 
Sync Host_30caab0 [ OneSyncSvc_30caab0 ] 

Inactive Services :

AllJoyn Router Service [ AJRouter ] 
Application Identity [ AppIDSvc ] 
Application Management [ AppMgmt ] 
App Readiness [ AppReadiness ] 
Microsoft App-V Client [ AppVClient ] 
AppX Deployment Service (AppXSVC) [ AppXSvc ] 
ActiveX Installer (AxInstSV) [ AxInstSV ] 
BitLocker Drive Encryption Service [ BDESVC ] 
Bluetooth Handsfree Service [ BthHFSrv ] 
Bluetooth Support Service [ bthserv ] 
Connected Devices Platform Service [ CDPSvc ] 
Certificate Propagation [ CertPropSvc ] 
Client License Service (ClipSVC) [ ClipSVC ] 
COM+ System Application [ COMSysApp ] 
Offline Files [ CscService ] 
DataCollectionPublishingService [ DcpSvc ] 
Optimize drives [ defragsvc ] 
Device Install Service [ DeviceInstall ] 
DevQuery Background Discovery Broker [ DevQueryBroker ] 
Microsoft (R) Diagnostics Hub Standard Collector Service [ diagnosticshub.standardcollector.service ] 
Device Management Enrollment Service [ DmEnrollmentSvc ] 
dmwappushsvc [ dmwappushservice ] 
Delivery Optimization [ DoSvc ] 
Wired AutoConfig [ dot3svc ] 
Extensible Authentication Protocol [ EapHost ] 
Eaton Intelligent Power Protector [ Eaton IntelligentPowerProtector ] 
Encrypting File System (EFS) [ EFS ] 
Apache Tomcat 9.0 eim [ eim ] 
Embedded Mode [ embeddedmode ] 
Enterprise App Management Service [ EntAppSvc ] 
Function Discovery Provider Host [ fdPHost ] 
Function Discovery Resource Publication [ FDResPub ] 
File History Service [ fhsvc ] 
Windows Camera Frame Server [ FrameServer ] 
Group Policy Client [ gpsvc ] 
Human Interface Device Service [ hidserv ] 
HomeGroup Listener [ HomeGroupListener ] 
HomeGroup Provider [ HomeGroupProvider ] 
IP Helper [ iphlpsvc ] 
Infrared monitor service [ irmon ] 
KtmRm for Distributed Transaction Coordinator [ KtmRm ] 
Link-Layer Topology Discovery Mapper [ lltdsvc ] 
McAfee Firewall Core Service [ mfefire ] 
Mozilla Maintenance Service [ MozillaMaintenance ] 
Distributed Transaction Coordinator [ MSDTC ] 
Microsoft iSCSI Initiator Service [ MSiSCSI ] 
Windows Installer [ msiserver ] 
Network Connectivity Assistant [ NcaSvc ] 
Network Connected Devices Auto-Setup [ NcdAutoSetup ] 
Network Connections [ Netman ] 
Network Setup Service [ NetSetupSvc ] 
Net.Tcp Port Sharing Service [ NetTcpPortSharing ] 
Microsoft Passport Container [ NgcCtnrSvc ] 
Microsoft Passport [ NgcSvc ] 
Performance Counter DLL Host [ PerfHost ] 
Phone Service [ PhoneSvc ] 
Performance Logs & Alerts [ pla ] 
Printer Extensions and Notifications [ PrintNotify ] 
Quality Windows Audio Video Experience [ QWAVE ] 
Remote Access Auto Connection Manager [ RasAuto ] 
Remote Access Connection Manager [ RasMan ] 
Routing and Remote Access [ RemoteAccess ] 
Retail Demo Service [ RetailDemo ] 
Radio Management Service [ RmSvc ] 
Remote Procedure Call (RPC) Locator [ RpcLocator ] 
Smart Card Device Enumeration Service [ ScDeviceEnum ] 
Smart Card Removal Policy [ SCPolicySvc ] 
Secondary Logon [ seclogon ] 
Windows Defender Advanced Threat Protection Service [ Sense ] 
Sensor Data Service [ SensorDataService ] 
Sensor Service [ SensorService ] 
Internet Connection Sharing (ICS) [ SharedAccess ] 
Shared PC Account Manager [ shpamsvc ] 
Microsoft Storage Spaces SMP [ smphost ] 
Microsoft Windows SMS Router Service. [ SmsRouter ] 
SNMP Trap [ SNMPTRAP ] 
Print Spooler [ Spooler ] 
Software Protection [ sppsvc ] 
SSDP Discovery [ SSDPSRV ] 
Secure Socket Tunneling Protocol Service [ SstpSvc ] 
Spot Verifier [ svsvc ] 
Microsoft Software Shadow Copy Provider [ swprv ] 
Touch Keyboard and Handwriting Panel Service [ TabletInputService ] 
Telephony [ TapiSrv ] 
Storage Tiers Management [ TieringEngineService ] 
Windows Modules Installer [ TrustedInstaller ] 
Auto Time Zone Updater [ tzautoupdate ] 
User Experience Virtualization Service [ UevAgentService ] 
Interactive Services Detection [ UI0Detect ] 
UPnP Device Host [ upnphost ] 
Update Orchestrator Service for Windows Update [ UsoSvc ] 
Virtual Disk [ vds ] 
Volume Shadow Copy [ VSS ] 
Block Level Backup Engine Service [ wbengine ] 
Windows Biometric Service [ WbioSrvc ] 
Windows Connect Now - Config Registrar [ wcncsvc ] 
Diagnostic System Host [ WdiSystemHost ] 
WebClient [ WebClient ] 
Windows Event Collector [ Wecsvc ] 
Windows Encryption Provider Host Service [ WEPHOSTSVC ] 
Problem Reports and Solutions Control Panel Support [ wercplsupport ] 
Windows Error Reporting Service [ WerSvc ] 
Still Image Acquisition Events [ WiaRpc ] 
WinHttpAutoProxySvc [ WinHttpAutoProxySvc ] 
Windows Insider Service [ wisvc ] 
WLAN AutoConfig [ WlanSvc ] 
Microsoft Account Sign-in Assistant [ wlidsvc ] 
WMI Performance Adapter [ wmiApSrv ] 
Work Folders [ workfolderssvc ] 
Portable Device Enumerator Service [ WPDBusEnum ] 
Windows Update [ wuauserv ] 
WWAN AutoConfig [ WwanSvc ] 
Xbox Live Auth Manager [ XblAuthManager ] 
Xbox Live Networking Service [ XboxNetApiSvc ] 
MessagingService_4164a [ MessagingService_4164a ] 
Contact Data_4164a [ PimIndexMaintenanceSvc_4164a ] 
User Data Storage_4164a [ UnistoreSvc_4164a ] 
User Data Access_4164a [ UserDataSvc_4164a ] 
Windows Push Notifications User Service_4164a [ WpnUserService_4164a ] 
MessagingService_30caab0 [ MessagingService_30caab0 ] 
Contact Data_30caab0 [ PimIndexMaintenanceSvc_30caab0 ] 
User Data Storage_30caab0 [ UnistoreSvc_30caab0 ] 
User Data Access_30caab0 [ UserDataSvc_30caab0 ] 
Windows Push Notifications User Service_30caab0 [ WpnUserService_30caab0 ] 
","","None","","IAVT:0001-T-0751","","2000/07/03","2022/02/01","","",""
"10785","","","None","10.46.254.48","tcp","445","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure","It was possible to obtain information about the remote operating
system.","Nessus was able to obtain the remote operating system name and version
(Windows and/or Samba) by sending an authentication request to port
139 or 445. Note that this plugin requires SMB to be enabled on the
host.","n/a","","Nessus was able to obtain the following information about the host, by 
parsing the SMB2 Protocol's NTLM SSP message:

	Target Name: IACS
	NetBIOS Domain Name: IACS
	NetBIOS Computer Name: NWC05BBBIGX4013
	DNS Domain Name: iacs.wlds
	DNS Computer Name: NWC05BBBIGX4013.iacs.wlds
	DNS Tree Name: iacs.wlds
	Product Version: 10.0.14393
","","None","","","","2001/10/17","2021/09/20","","",""
