Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","2.1","Low","10.46.254.214","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The ICMP timestamps seem to be in little endian format (not in network format)
The difference between the local and remote clocks is 8 seconds.
","","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10150","","","None","10.46.254.214","tcp","445","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 2 NetBIOS names have been gathered :

 LC01WAIACSDO04   = Computer name
 IACS             = Workgroup / Domain name
","","None","","","","1999/10/12","2021/02/10","","",""
"10287","","","None","10.46.254.214","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.46.254.222 to 10.46.254.214 : 
10.46.254.222
10.46.254.214

Hop Count: 1
","","None","","","","1999/11/27","2023/12/04","","",""
"10394","","","None","10.46.254.214","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- Guest account
- Supplied credentials","n/a","http://www.nessus.org/u?5c2589f6
https://support.microsoft.com/en-us/help/246261","- The SMB tests will be done as iacs.wlds\auditor/******
","","None","","","","2000/05/09","2024/07/29","","",""
"10395","","","None","10.46.254.214","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host when logged in as auditor:

  - ADMIN$
  - C$
  - IPC$
","","None","","","","2000/05/09","2022/02/01","","",""
"10396","","","None","10.46.254.214","tcp","445","Microsoft Windows SMB Shares Access","It is possible to access a network share.","The remote has one or more Windows shares that can be accessed through
the network with the given credentials.

Depending on the share rights, it may allow an attacker to read /
write confidential data.","To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","","
The following shares can be accessed as auditor :

- ADMIN$  - (readable,writable)
  + Content of this share :
..
addins
appcompat
apppatch
AppReadiness
assembly
bcastdvr
bfsvc.exe
BitLockerDiscoveryVolumeContents
Boot
bootstat.dat
Branding
CbsTemp
Containers
CSC
Cursors
CxSvc
debug
diagnostics
DigitalLocker
Downloaded Program Files
DPDrv
DPINST.LOG
DtcInstall.log
ELAMBKUP
en-US
EnterpriseS.xml
explorer.exe
Fonts
GameBarPresenceWriter
Globalization
Help
HelpPane.exe
hh.exe
IdentityCRL
IME
ImmersiveControlPanel
INF
InputMethod
Installer
L2Schemas
LanguageOverlayCache
LiveKernelReports
Logs
lsasetup.log
media
mib.bin
Microsoft.NET
Migration
ModemLogs
notepad.exe
OCR
Offline Web Pages
Panther
Performance
PFRO.log
PLA
PolicyDefinitions
Prefetch
PrintDialog
Provisioning
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServiceProfiles
ServiceState
servicing
Setup
setupact.log
setuperr.log
ShellComponents
ShellExperiences
SKB
SoftwareDistribution
Speech
Speech_OneCore
splwow64.exe
System
system.ini
System32
SystemApps
SystemResources
SystemTemp
SysWOW64
TAPI
Tasks
Temp

- C$  - (readable,writable)
  + Content of this share :
Documents and Settings
favorites
Gowtham
hp
Intel
LTSC Patches
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Quarantine
Recovery
soflib
swapfile.sys
SWSETUP
System Volume Information
system.sav
Temp
Users
Windows

","","None","","","","2000/05/09","2021/10/04","","",""
"10456","","","None","10.46.254.214","tcp","445","Microsoft Windows SMB Service Enumeration","It is possible to enumerate remote services.","This plugin implements the SvcOpenSCManager() and SvcEnumServices()
calls to obtain, using the SMB protocol, the list of active and
inactive services of the remote host.

An attacker may use this feature to gain better knowledge of the
remote host.","To prevent the listing of the services from being obtained, you should
either have tight login restrictions, so that only trusted users can
access your host, and/or you should filter incoming traffic to this
port.","","
Active Services :

Application Information [ Appinfo ] 
Windows Audio Endpoint Builder [ AudioEndpointBuilder ] 
Windows Audio [ Audiosrv ] 
Base Filtering Engine [ BFE ] 
Background Intelligent Transfer Service [ BITS ] 
Background Tasks Infrastructure Service [ BrokerInfrastructure ] 
Connected Devices Platform Service [ CDPSvc ] 
CoreMessaging [ CoreMessagingRegistrar ] 
Intel(R) Content Protection HECI Service [ cphs ] 
Intel(R) Content Protection HDCP Service [ cplspcon ] 
Cryptographic Services [ CryptSvc ] 
CxUIUSvc Service [ CxUIUSvc ] 
DCOM Server Process Launcher [ DcomLaunch ] 
Device Association Service [ DeviceAssociationService ] 
DHCP Client [ Dhcp ] 
Connected User Experiences and Telemetry [ DiagTrack ] 
DNS Client [ Dnscache ] 
DigitalPersona Authentication Service [ DpHost ] 
Diagnostic Policy Service [ DPS ] 
Device Setup Manager [ DsmSvc ] 
Data Usage [ DusmSvc ] 
Windows Event Log [ EventLog ] 
COM+ Event System [ EventSystem ] 
Windows Font Cache Service [ FontCache ] 
Group Policy Client [ gpsvc ] 
Human Interface Device Service [ hidserv ] 
HP Comm Recovery [ HP Comm Recover ] 
HP CASL Framework Service [ hpqcaslwmiex ] 
HP Support Solutions Framework Service [ HPSupportSolutionsFrameworkService ] 
Intel(R) Graphics Command Center Service [ igccservice ] 
Intel(R) HD Graphics Control Panel Service [ igfxCUIService2.0.0.0 ] 
IKE and AuthIP IPsec Keying Modules [ IKEEXT ] 
IP Helper [ iphlpsvc ] 
CNG Key Isolation [ KeyIso ] 
Server [ LanmanServer ] 
Workstation [ LanmanWorkstation ] 
LAN/WLAN/WWAN Switching Service [ LanWlanSwitchingService ] 
Windows License Manager Service [ LicenseManager ] 
TCP/IP NetBIOS Helper [ lmhosts ] 
Local Session Manager [ LSM ] 
McAfee Agent Common Services [ macmnsvc ] 
McAfee Agent Service [ masvc ] 
McAfee Agent Backwards Compatibility Service [ McAfeeFramework ] 
McAfee Service Controller [ mfemms ] 
McAfee Validation Trust Protection Service [ mfevtp ] 
McAfee Endpoint Security Web Control Service [ mfewc ] 
Windows Defender Firewall [ mpssvc ] 
Network Connection Broker [ NcbService ] 
Netlogon [ Netlogon ] 
Network List Service [ netprofm ] 
Microsoft Passport Container [ NgcCtnrSvc ] 
Network Location Awareness [ NlaSvc ] 
Network Store Interface Service [ nsi ] 
Program Compatibility Assistant Service [ PcaSvc ] 
Plug and Play [ PlugPlay ] 
IPsec Policy Agent [ PolicyAgent ] 
Power [ Power ] 
User Profile Service [ ProfSvc ] 
Remote Access Connection Manager [ RasMan ] 
RPC Endpoint Mapper [ RpcEptMapper ] 
Remote Procedure Call (RPC) [ RpcSs ] 
Security Accounts Manager [ SamSs ] 
Task Scheduler [ Schedule ] 
Sound Research SECOMN Service [ SECOMNService ] 
Windows Security Service [ SecurityHealthService ] 
System Event Notification Service [ SENS ] 
System Guard Runtime Monitor Broker [ SgrmBroker ] 
Shell Hardware Detection [ ShellHWDetection ] 
Secure Socket Tunneling Protocol Service [ SstpSvc ] 
State Repository Service [ StateRepository ] 
Windows Image Acquisition (WIA) [ stisvc ] 
Storage Service [ StorSvc ] 
syslog-ng Agent [ syslog-ng Agent ] 
SysMain [ SysMain ] 
System Events Broker [ SystemEventsBroker ] 
Touch Keyboard and Handwriting Panel Service [ TabletInputService ] 
Tenable Nessus Agent [ Tenable Nessus Agent ] 
Themes [ Themes ] 
Time Broker [ TimeBrokerSvc ] 
Web Account Manager [ TokenBroker ] 
Distributed Link Tracking Client [ TrkWks ] 
User Manager [ UserManager ] 
Update Orchestrator Service [ UsoSvc ] 
Credential Manager [ VaultSvc ] 
Windows Time [ W32Time ] 
Windows Connection Manager [ Wcmsvc ] 
Diagnostic Service Host [ WdiServiceHost ] 
Diagnostic System Host [ WdiSystemHost ] 
WinHTTP Web Proxy Auto-Discovery Service [ WinHttpAutoProxySvc ] 
Windows Management Instrumentation [ Winmgmt ] 
Windows Push Notifications System Service [ WpnService ] 
Security Center [ wscsvc ] 
Windows Search [ WSearch ] 
Clipboard User Service_a9703 [ cbdhsvc_a9703 ] 
Connected Devices Platform User Service_a9703 [ CDPUserSvc_a9703 ] 
Sync Host_a9703 [ OneSyncSvc_a9703 ] 
Windows Push Notifications User Service_a9703 [ WpnUserService_a9703 ] 
Clipboard User Service_93ab84 [ cbdhsvc_93ab84 ] 
Connected Devices Platform User Service_93ab84 [ CDPUserSvc_93ab84 ] 
Sync Host_93ab84 [ OneSyncSvc_93ab84 ] 
Windows Push Notifications User Service_93ab84 [ WpnUserService_93ab84 ] 

Inactive Services :

AllJoyn Router Service [ AJRouter ] 
Application Layer Gateway Service [ ALG ] 
Application Identity [ AppIDSvc ] 
Application Management [ AppMgmt ] 
App Readiness [ AppReadiness ] 
Microsoft App-V Client [ AppVClient ] 
AppX Deployment Service (AppXSVC) [ AppXSvc ] 
AssignedAccessManager Service [ AssignedAccessManagerSvc ] 
ActiveX Installer (AxInstSV) [ AxInstSV ] 
BitLocker Drive Encryption Service [ BDESVC ] 
Bluetooth Audio Gateway Service [ BTAGService ] 
AVCTP service [ BthAvctpSvc ] 
Bluetooth Support Service [ bthserv ] 
Capability Access Manager Service [ camsvc ] 
Certificate Propagation [ CertPropSvc ] 
Client License Service (ClipSVC) [ ClipSVC ] 
COM+ System Application [ COMSysApp ] 
Offline Files [ CscService ] 
Optimize drives [ defragsvc ] 
Device Install Service [ DeviceInstall ] 
DevQuery Background Discovery Broker [ DevQueryBroker ] 
Microsoft (R) Diagnostics Hub Standard Collector Service [ diagnosticshub.standardcollector.service ] 
Diagnostic Execution Service [ diagsvc ] 
Display Enhancement Service [ DisplayEnhancementService ] 
Device Management Enrollment Service [ DmEnrollmentSvc ] 
Device Management Wireless Application Protocol (WAP) Push message Routing Service [ dmwappushservice ] 
Delivery Optimization [ DoSvc ] 
Wired AutoConfig [ dot3svc ] 
Data Sharing Service [ DsSvc ] 
Extensible Authentication Protocol [ Eaphost ] 
Microsoft Edge Update Service (edgeupdate) [ edgeupdate ] 
Microsoft Edge Update Service (edgeupdatem) [ edgeupdatem ] 
Encrypting File System (EFS) [ EFS ] 
Embedded Mode [ embeddedmode ] 
Enterprise App Management Service [ EntAppSvc ] 
Fax [ Fax ] 
Function Discovery Provider Host [ fdPHost ] 
Function Discovery Resource Publication [ FDResPub ] 
File History Service [ fhsvc ] 
Windows Camera Frame Server [ FrameServer ] 
GraphicsPerfSvc [ GraphicsPerfSvc ] 
HV Host Service [ HvHost ] 
Intel(R) Rapid Storage Technology [ IAStorDataMgrSvc ] 
Windows Mobile Hotspot Service [ icssvc ] 
Microsoft Store Install Service [ InstallService ] 
IP Translation Configuration Service [ IpxlatCfgSvc ] 
Infrared monitor service [ irmon ] 
KtmRm for Distributed Transaction Coordinator [ KtmRm ] 
Geolocation Service [ lfsvc ] 
Link-Layer Topology Discovery Mapper [ lltdsvc ] 
Language Experience Service [ LxpSvc ] 
Downloaded Maps Manager [ MapsBroker ] 
McAfee Firewall Core Service [ mfefire ] 
Microsoft Edge Elevation Service (MicrosoftEdgeElevationService) [ MicrosoftEdgeElevationService ] 
Distributed Transaction Coordinator [ MSDTC ] 
Microsoft iSCSI Initiator Service [ MSiSCSI ] 
Windows Installer [ msiserver ] 
Natural Authentication [ NaturalAuthentication ] 
Network Connectivity Assistant [ NcaSvc ] 
Network Connected Devices Auto-Setup [ NcdAutoSetup ] 
Network Connections [ Netman ] 
Network Setup Service [ NetSetupSvc ] 
Net.Tcp Port Sharing Service [ NetTcpPortSharing ] 
Microsoft Passport [ NgcSvc ] 
Peer Networking Identity Manager [ p2pimsvc ] 
Peer Networking Grouping [ p2psvc ] 
BranchCache [ PeerDistSvc ] 
Windows Perception Simulation Service [ perceptionsimulation ] 
Performance Counter DLL Host [ PerfHost ] 
Phone Service [ PhoneSvc ] 
Performance Logs & Alerts [ pla ] 
PNRP Machine Name Publication Service [ PNRPAutoReg ] 
Peer Name Resolution Protocol [ PNRPsvc ] 
Printer Extensions and Notifications [ PrintNotify ] 
Windows PushToInstall Service [ PushToInstall ] 
Quality Windows Audio Video Experience [ QWAVE ] 
Remote Access Auto Connection Manager [ RasAuto ] 
Routing and Remote Access [ RemoteAccess ] 
Remote Registry [ RemoteRegistry ] 
Retail Demo Service [ RetailDemo ] 
Radio Management Service [ RmSvc ] 
Remote Procedure Call (RPC) Locator [ RpcLocator ] 
Smart Card [ SCardSvr ] 
Smart Card Device Enumeration Service [ ScDeviceEnum ] 
Smart Card Removal Policy [ SCPolicySvc ] 
Windows Backup [ SDRSVC ] 
Secondary Logon [ seclogon ] 
Payments and NFC/SE Manager [ SEMgrSvc ] 
Windows Defender Advanced Threat Protection Service [ Sense ] 
Sensor Data Service [ SensorDataService ] 
Sensor Service [ SensorService ] 
Sensor Monitoring Service [ SensrSvc ] 
Remote Desktop Configuration [ SessionEnv ] 
Internet Connection Sharing (ICS) [ SharedAccess ] 
Spatial Data Service [ SharedRealitySvc ] 
Shared PC Account Manager [ shpamsvc ] 
Microsoft Storage Spaces SMP [ smphost ] 
Microsoft Windows SMS Router Service. [ SmsRouter ] 
SNMP Trap [ SNMPTRAP ] 
Windows Perception Service [ spectrum ] 
Print Spooler [ Spooler ] 
Software Protection [ sppsvc ] 
SSDP Discovery [ SSDPSRV ] 
OpenSSH Authentication Agent [ ssh-agent ] 
Spot Verifier [ svsvc ] 
Microsoft Software Shadow Copy Provider [ swprv ] 
Telephony [ TapiSrv ] 
Remote Desktop Services [ TermService ] 
Storage Tiers Management [ TieringEngineService ] 
Windows Modules Installer [ TrustedInstaller ] 
Auto Time Zone Updater [ tzautoupdate ] 
User Experience Virtualization Service [ UevAgentService ] 
Remote Desktop Services UserMode Port Redirector [ UmRdpService ] 
UPnP Device Host [ upnphost ] 
Volumetric Audio Compositor Service [ VacSvc ] 
Virtual Disk [ vds ] 
Hyper-V Guest Service Interface [ vmicguestinterface ] 
Hyper-V Heartbeat Service [ vmicheartbeat ] 
Hyper-V Data Exchange Service [ vmickvpexchange ] 
Hyper-V Remote Desktop Virtualization Service [ vmicrdv ] 
Hyper-V Guest Shutdown Service [ vmicshutdown ] 
Hyper-V Time Synchronization Service [ vmictimesync ] 
Hyper-V PowerShell Direct Service [ vmicvmsession ] 
Hyper-V Volume Shadow Copy Requestor [ vmicvss ] 
Volume Shadow Copy [ VSS ] 
Windows Update Medic Service [ WaaSMedicSvc ] 
WalletService [ WalletService ] 
WarpJITSvc [ WarpJITSvc ] 
Block Level Backup Engine Service [ wbengine ] 
Windows Biometric Service [ WbioSrvc ] 
Windows Connect Now - Config Registrar [ wcncsvc ] 
Windows Defender Antivirus Network Inspection Service [ WdNisSvc ] 
WebClient [ WebClient ] 
Windows Event Collector [ Wecsvc ] 
Windows Encryption Provider Host Service [ WEPHOSTSVC ] 
Problem Reports and Solutions Control Panel Support [ wercplsupport ] 
Windows Error Reporting Service [ WerSvc ] 
Wi-Fi Direct Services Connection Manager Service [ WFDSConMgrSvc ] 
Still Image Acquisition Events [ WiaRpc ] 
Windows Defender Antivirus Service [ WinDefend ] 
Windows Remote Management (WS-Management) [ WinRM ] 
Windows Insider Service [ wisvc ] 
WLAN AutoConfig [ WlanSvc ] 
Microsoft Account Sign-in Assistant [ wlidsvc ] 
Local Profile Assistant Service [ wlpasvc ] 
Windows Management Service [ WManSvc ] 
WMI Performance Adapter [ wmiApSrv ] 
Windows Media Player Network Sharing Service [ WMPNetworkSvc ] 
Work Folders [ workfolderssvc ] 
Parental Controls [ WpcMonSvc ] 
Portable Device Enumerator Service [ WPDBusEnum ] 
Windows Update [ wuauserv ] 
WWAN AutoConfig [ WwanSvc ] 
Xbox Live Auth Manager [ XblAuthManager ] 
Xbox Live Game Save [ XblGameSave ] 
Xbox Accessory Management Service [ XboxGipSvc ] 
Xbox Live Networking Service [ XboxNetApiSvc ] 
GameDVR and Broadcast User Service_a9703 [ BcastDVRUserService_a9703 ] 
Bluetooth User Support Service_a9703 [ BluetoothUserService_a9703 ] 
CaptureService_a9703 [ CaptureService_a9703 ] 
ConsentUX_a9703 [ ConsentUxUserSvc_a9703 ] 
DevicePicker_a9703 [ DevicePickerUserSvc_a9703 ] 
DevicesFlow_a9703 [ DevicesFlowUserSvc_a9703 ] 
MessagingService_a9703 [ MessagingService_a9703 ] 
Contact Data_a9703 [ PimIndexMaintenanceSvc_a9703 ] 
PrintWorkflow_a9703 [ PrintWorkflowUserSvc_a9703 ] 
User Data Storage_a9703 [ UnistoreSvc_a9703 ] 
User Data Access_a9703 [ UserDataSvc_a9703 ] 
GameDVR and Broadcast User Service_93ab84 [ BcastDVRUserService_93ab84 ] 
Bluetooth User Support Service_93ab84 [ BluetoothUserService_93ab84 ] 
CaptureService_93ab84 [ CaptureService_93ab84 ] 
ConsentUX_93ab84 [ ConsentUxUserSvc_93ab84 ] 
DevicePicker_93ab84 [ DevicePickerUserSvc_93ab84 ] 
DevicesFlow_93ab84 [ DevicesFlowUserSvc_93ab84 ] 
MessagingService_93ab84 [ MessagingService_93ab84 ] 
Contact Data_93ab84 [ PimIndexMaintenanceSvc_93ab84 ] 
PrintWorkflow_93ab84 [ PrintWorkflowUserSvc_93ab84 ] 
User Data Storage_93ab84 [ UnistoreSvc_93ab84 ] 
User Data Access_93ab84 [ UserDataSvc_93ab84 ] 
","","None","","IAVT:0001-T-0751","","2000/07/03","2022/02/01","","",""
"10785","","","None","10.46.254.214","tcp","445","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure","It was possible to obtain information about the remote operating
system.","Nessus was able to obtain the remote operating system name and version
(Windows and/or Samba) by sending an authentication request to port
139 or 445. Note that this plugin requires SMB to be enabled on the
host.","n/a","","Nessus was able to obtain the following information about the host, by 
parsing the SMB2 Protocol's NTLM SSP message:

	Target Name: IACS
	NetBIOS Domain Name: IACS
	NetBIOS Computer Name: LC01WAIACSDO04
	DNS Domain Name: iacs.wlds
	DNS Computer Name: LC01WAIACSDO04.iacs.wlds
	DNS Tree Name: iacs.wlds
	Product Version: 10.0.17763
","","None","","","","2001/10/17","2021/09/20","","",""
"10859","","","None","10.46.254.214","tcp","445","Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration","It is possible to obtain the host SID for the remote host.","By emulating the call to LsaQueryInformationPolicy(), it was possible
to obtain the host SID (Security Identifier).

The host SID can then be used to get the list of local users.","You can prevent anonymous lookups of the host SID by setting the
'RestrictAnonymous' registry setting to an appropriate value.

Refer to the 'See also' section for guidance.","http://technet.microsoft.com/en-us/library/bb418944.aspx","
The remote host SID value is : S-1-5-21-3439262097-3650409257-2758012335

The value of 'RestrictAnonymous' setting is : unknown
","","None","","","","2002/02/13","2024/01/31","","",""
"10902","","","None","10.46.254.214","tcp","445","Microsoft Windows 'Administrators' Group User List","There is at least one user in the 'Administrators' group.","Using the supplied credentials, it is possible to extract the member
list of the 'Administrators' group. Members of this group have
complete access to the remote system.","Verify that each member of the group should have this type of access.","","
The following users are members of the 'Administrators' group :

  - LC01WAIACSDO04\CISADMIN (User)
  - LC01WAIACSDO04\ICA (User)
  - IACS\Domain Admins (Group)
","","None","","","","2002/03/15","2018/05/16","","",""
